gene,Group,degree,tau
SCNN1A,FS Control,258,0.8472011505360311
RTN2,FS Control,180,0.891645440188386
HK1,FS Control,342,0.6352432227611439
ATL1,FS Control,146,0.8181169455204068
RHAG,FS Control,126,0.9262653144926302
GNB1,FS Control,1576,0.5526832814011332
MEFV,FS Control,264,0.9882590289608356
COL9A2,FS Control,230,0.908726868681514
ATP6V0C,FS Control,334,0.6166094162986767
SREBF1,FS Control,704,0.8257534475339722
TGFB1,FS Control,802,0.860020748411355
PRODH,FS Control,166,0.7844111238103206
ZP3,FS Control,154,0.5715973254412519
PDE11A,FS Control,216,0.9054636371523362
SCAF4,FS Control,170,0.5738164907515313
RBP4,FS Control,194,0.9634833948847792
TRIM71,FS Control,104,0.9885333410281048
GNAO1,FS Control,614,0.8197281222175168
LHX4,FS Control,150,0.709209872880613
RANBP2,FS Control,622,0.4753468046403588
MEF2C,FS Control,542,0.8346228482920252
ZNF408,FS Control,90,0.43245490273955733
CACNA1C,FS Control,682,0.8517174488516359
ACVRL1,Stopgain,198,0.8721524343396578
AGO2,Stopgain,862,0.5346156836887342
ARID1A,Stopgain,498,0.6004483262813832
BARD1,Stopgain,646,0.8315869733659963
BRCA1,Stopgain,1650,0.91741549838723
C1S,Stopgain,192,0.7910954517315001
CASR,Stopgain,334,0.9777185826565262
CCND2,Stopgain,426,0.78065303578139
CFH,Stopgain,250,0.8783034321887986
CFTR,Stopgain,948,0.9355332694426448
CNNM2,Stopgain,116,0.7000774886799882
CRB1,Stopgain,338,0.9020711773057192
CREBBP,Stopgain,1466,0.594436502706408
DSP,Stopgain,226,0.9590385335513152
EDAR,Stopgain,108,0.9382672879321612
EP300,Stopgain,2018,0.5209494404626289
EPOR,Stopgain,376,0.9294577335768076
EVC2,Stopgain,192,0.7677405101136625
F2,Stopgain,660,0.9744995434478384
FBN1,Stopgain,312,0.9493102721776132
FBXO11,Stopgain,154,0.65086524588822
FH,Stopgain,588,0.5949981474346508
FLG,Stopgain,252,0.9912221042724564
FLNC,Stopgain,342,0.9498199602166604
GLI2,Stopgain,528,0.8800969758184566
GRIN2B,Stopgain,698,0.9274721924309433
HIVEP2,Stopgain,124,0.7523448132657088
HNRNPR,Stopgain,636,0.6370409941458062
KAT6A,Stopgain,448,0.5678416140993691
KAT6B,Stopgain,340,0.5713806295100274
KCNB1,Stopgain,374,0.8574474877154706
KIF21A,Stopgain,208,0.7879188377771896
LGI1,Stopgain,192,0.8947602205259692
LRSAM1,Stopgain,146,0.5566000298783976
MFN2,Stopgain,474,0.6268529717719417
MLH1,Stopgain,616,0.6354870314628441
MN1,Stopgain,100,0.8721329490177867
MSH6,Stopgain,606,0.7651806104123176
MYH9,Stopgain,550,0.8573064288659175
NAGLU,Stopgain,110,0.5631310375625141
NARS1,Stopgain,190,0.6189661366680377
NKX2-1,Stopgain,398,0.9955389723993988
NKX2-5,Stopgain,468,0.9787873294916508
NOTCH2,Stopgain,440,0.7674102569528441
NOTCH3,Stopgain,432,0.9047012979954216
NR3C2,Stopgain,270,0.6694615361391223
NSD1,Stopgain,336,0.5495405092925908
ODC1,Stopgain,280,0.8436349397402233
OPLAH,Stopgain,158,0.8921636721969244
PALB2,Stopgain,322,0.6796325601372778
PKD1,Stopgain,240,0.9242172827354568
PLEC,Stopgain,738,0.7337288861791247
POGZ,Stopgain,156,0.6674179398368835
PPM1D,Stopgain,166,0.7148485484336485
PPOX,Stopgain,144,0.5839875954321798
PRPF8,Stopgain,868,0.5767270661411025
RARB,Stopgain,294,0.75892009480569
RASA1,Stopgain,428,0.6821540195958068
RHO,Stopgain,600,0.9013891977816106
RP1,Stopgain,50,0.9364700560324624
RP1L1,Stopgain,158,0.8848155512341326
SATB1,Stopgain,142,0.5996451396181364
SCN5A,Stopgain,438,0.9715692145249114
SEMA6B,Stopgain,154,0.8007248017405875
SERPING1,Stopgain,214,0.7407554303483027
SLC3A1,Stopgain,176,0.931751768385486
SLC4A1,Stopgain,210,0.9879259378925008
SLCO2A1,Stopgain,96,0.8997501104582705
SMARCD1,Stopgain,334,0.5342432320363005
SNAP25,Stopgain,960,0.9625163463891326
SPR,Stopgain,126,0.6811182406696292
STXBP1,Stopgain,606,0.9155788419601012
TEK,Stopgain,458,0.8477730580892597
TGFB3,Stopgain,458,0.8063049404826003
TGFBR2,Stopgain,478,0.7609918217400896
TP63,Stopgain,272,0.9576900220681968
TRPC6,Stopgain,256,0.9039665263211608
TRPS1,Stopgain,102,0.787462777923306
TSHR,Stopgain,198,0.999227731312736
VHL,Stopgain,358,0.7133568531639026
